"User_Mac","domain_name","domain_type","web_detail","device","Adult Content","multimedia hosting","Networking/ISP","ad content","microsoft/google/bing","moview review/ticket booking","music hosting","eCommerce","online cloud","Social networking","Travel and Resturants","total"
"00:1e:de:fb:c7:cf",".in","indian website","Networking/ISP"," HP_10",0,0,15,0,2,0,0,0,0,0,0,17
"00:1e:de:fb:c7:cf",".com","Commercial","microsoft/google/bing"," HP_10",0,0,15,0,2,0,0,0,0,0,0,17
"00:27:06:17:70:83",".com","Commercial","Social networking","Sansui-SA50",227,3068,775,2085,606,0,180,5,130,3,0,7079
"00:27:06:17:70:83",".com","Commercial","Social networking"," MSIE 10",227,3068,775,2085,606,0,180,5,130,3,0,7079
"00:27:06:17:70:83",".com","Commercial","Social networking",NA,227,3068,775,2085,606,0,180,5,130,3,0,7079
"00:27:06:17:70:83",".com","Commercial","Social networking"," Sansui_SA50",227,3068,775,2085,606,0,180,5,130,3,0,7079
"00:27:06:17:70:83",".com","Commercial","Social networking"," Sansui SA50",227,3068,775,2085,606,0,180,5,130,3,0,7079
"00:27:06:17:70:83",".com","Commercial","Social networking"," Sansui",227,3068,775,2085,606,0,180,5,130,3,0,7079
"00:27:06:17:70:83",".biz","business",NA,"Sansui-SA50",227,3068,775,2085,606,0,180,5,130,3,0,7079
"00:27:06:17:70:83",".biz","business",NA," MSIE 10",227,3068,775,2085,606,0,180,5,130,3,0,7079
"00:27:06:17:70:83",".biz","business",NA,NA,227,3068,775,2085,606,0,180,5,130,3,0,7079
"00:27:06:17:70:83",".biz","business",NA," Sansui_SA50",227,3068,775,2085,606,0,180,5,130,3,0,7079
"00:27:06:17:70:83",".biz","business",NA," Sansui SA50",227,3068,775,2085,606,0,180,5,130,3,0,7079
"00:27:06:17:70:83",".biz","business",NA," Sansui",227,3068,775,2085,606,0,180,5,130,3,0,7079
